Disease_Name_English,Disease_Name_Spanish,Diagnosis,Treatments,Tests,Medications_Drugs
Athlete's foot,Athlete's foot,Visual inspection by a doctor; Skin scraping from the affected area for lab testing to confirm diagnosis and rule out other conditions.,Nonprescription products and self-care; Prescription-strength cream or ointment; Antifungal pills; Combination of topical and oral medicine.,Skin scraping,clotrimazole; econazole; ciclopirox; terbinafine; itraconazole; terbinafine (Lamisil AT); clotrimazole (Lotrimin AF)
Atopic dermatitis (eczema),Atopic dermatitis (eczema),Clinical evaluation of symptoms; skin examination; review of medical history; allergy testing; patch testing to identify specific allergens.,Regular moisturizing; medicated creams; wet dressings; light therapy; counseling; relaxation techniques; behavior modification; biofeedback; avoiding skin irritants; avoiding extreme temperatures; short warm baths with moisturizer application.,Patch testing,tacrolimus (Protopic); pimecrolimus (Elidel); antibiotics; cyclosporine; methotrexate; prednisone; mycophenolate; azathioprine; dupilumab (Dupixent); tralokinumab (Adbry); hydrocortisone (1% cream); cetirizine (Zyrtec Allergy); fexofenadine (Allegra Allergy); diphenhydramine (Benadryl).
Atrial fibrillation,Atrial fibrillation,"Diagnosis may be incidental during a health checkup;  a healthcare provider examines the patient, reviews medical history and symptoms; tests are conducted to identify underlying conditions that may cause irregular heartbeats (e.g., heart or thyroid disease).",Medicine; Cardioversion (electrical and drug); Surgery or catheter procedures (AV node ablation; Maze procedure; Hybrid atrial fibrillation ablation; Pulsed field ablation); Cardiac ablation,Blood tests; Electrocardiogram (ECG or EKG); Holter monitor; Event recorder; Implantable loop recorder; Echocardiogram; Exercise stress tests; Chest X-ray,Beta blockers; Calcium channel blockers; Digoxin; Anti-arrhythmics; Warfarin (Jantoven); Apixaban (Eliquis); Dabigatran (Pradaxa); Edoxaban (Savaysa); Rivaroxaban (Xarelto)
Atrial flutter,Atrial flutter,"Physical examination including heart auscultation and blood pressure measurement; review of symptoms, health habits, and medical history.",Medications; Cardioversion (electrical and pharmacologic); Radiofrequency ablation.,"Blood tests (liver, thyroid, kidney function); Electrocardiogram (ECG or EKG); Holter monitor; Event recorder; Implantable loop recorder; Echocardiogram; Exercise stress test; CT scan of the lungs; Electrophysiological (EP) study.",Information not found
Atrial septal defect (ASD),Atrial septal defect (ASD),ASDs may be detected prenatally or postnatally; smaller defects may not be discovered until later in life.  A heart murmur may be audible via stethoscope.  Echocardiogram is the primary diagnostic test.  Other tests may be used if the diagnosis is uncertain.,"Regular health checkups (for small defects that don't close); Catheter-based repair (for secundum ASDs); Open-heart surgery (for primum, sinus venosus, and coronary sinus ASDs); Minimally invasive surgery; Robot-assisted heart surgery",Echocardiogram; Chest X-ray; Electrocardiogram (ECG or EKG); Cardiac magnetic resonance imaging (MRI) scan; Computerized tomography (CT) scan,Beta blockers; Anticoagulants; Diuretics
Atrial tachycardia,Atrial tachycardia,Physical examination including heart auscultation and blood pressure measurement; patient history including symptoms and medical history; electrocardiogram (ECG or EKG).,Vagal maneuvers; Medications; Cardioversion; Catheter ablation; Pacemaker; AV node ablation (in conjunction with pacemaker placement).,Blood tests; Electrocardiogram (ECG or EKG); Holter monitor; Echocardiogram; Exercise test (stress test); Electrophysiological (EP) study and cardiac mapping.,Information not found
Atrioventricular canal defect,Atrioventricular canal defect,"Diagnosis may occur prenatally via ultrasound or specialized heart imaging; postnatally, symptoms (heart murmur) are usually noticeable within the first weeks of life.  Further diagnosis utilizes pulse oximetry, electrocardiogram (ECG or EKG), echocardiogram, chest X-ray, and cardiac catheterization.",Surgery (may involve one or two patches to close the heart wall hole; mitral valve repair or replacement; separation of a single valve into two valves; tricuspid valve repair or replacement); Preventive antibiotics (in some cases before certain dental and surgical procedures to prevent infective endocarditis),Pulse oximetry; Electrocardiogram (ECG or EKG); Echocardiogram; Chest X-ray; Cardiac catheterization,Information not found
Atrioventricular nodal reentry tachycardia (AVNRT),Atrioventricular nodal reentry tachycardia (AVNRT),Clinical examination including assessment of symptoms and medical history; Auscultation of heart and lungs;  Electrocardiogram (ECG or EKG).,Vagal maneuvers; Medications; Cardioversion; Catheter ablation,Blood tests; Electrocardiogram (ECG or EKG); Holter monitor; Echocardiogram; Exercise stress tests; Electrophysiological study (EP study),Information not found
Attention-deficit/hyperactivity disorder (ADHD) in children,Attention-deficit/hyperactivity disorder (ADHD) in children,"Diagnosis is made if core ADHD symptoms begin before age 12 and cause significant ongoing problems at home and school; there's no specific test; diagnosis involves a medical exam to rule out other causes; information gathering (medical history, school records); interviews/surveys with family, teachers, and caregivers; and ADHD rating scales.  For young children, diagnosis is more challenging and may require specialist evaluation.",Medicines; behavior therapy; counseling; education services; social skills training; parent skills training; talk therapy; family therapy,Medical exam; ADHD rating scales,"dextroamphetamine (Dexedrine Spansule); dextroamphetamine-amphetamine (Adderall XR, Mydayis); lisdexamfetamine (Vyvanse); methylphenidate (Concerta, Ritalin, others); dexmethylphenidate (Focalin); dexmethylphenidate-serdexmethylphenidate (Azstarys); atomoxetine (Strattera); viloxazine (Qelbree); guanfacine (Intuniv); clonidine (Onyda XR); bupropion (Aplenzin, Wellbutrin XL, others)"
Atypical genitalia,Atypical genitalia,Diagnosis is usually made at birth or shortly after; sometimes suspected prenatally if fetal sex from blood tests differs from ultrasound imaging of genitalia.  Diagnosis involves a physical exam to check for testicles and evaluate genitalia; questioning of family and medical history.,"Hormone therapy; Surgery to maintain sexual function, create more typical-appearing genitals; Ongoing medical care, including cancer screenings in adulthood; Counseling and support for family",Blood tests to measure hormone levels; Blood tests to analyze chromosomes; Ultrasound of the pelvis and belly; X-ray studies using contrast dye; Minimally invasive surgery to collect tissue sample (if needed),Hormone medicines (specific medication not named)
Atypical hyperplasia of the breast,Atypical hyperplasia of the breast,Atypical hyperplasia of the breast is most often diagnosed during a breast biopsy following a concerning finding on a clinical breast exam or imaging tests like mammogram or ultrasound.,Surgery to remove atypical cells; More-frequent breast cancer screening; Medicine to lower the risk of breast cancer; Risk-reducing mastectomy or prophylactic mastectomy; Avoidance of hormone therapy for menopause,Breast biopsy; Mammogram; Ultrasound; Breast self-exam; Clinical breast exam; Screening mammograms; Breast MRI; Molecular breast imaging; other supplemental breast imaging tests,Tamoxifen; Raloxifene (Evista); Anastrozole (Arimidex); Exemestane (Aromasin)
Auditory processing disorder,Auditory processing disorder,"Diagnosis involves assessing symptoms and duration, and may include input from teachers (for children), psychologists, and speech-language pathologists.  Audiologists conduct hearing tests.",Hearing aids and wireless listening devices; FM systems; Auditory training (hearing rehabilitation); Computer-based training,Tympanometry; Acoustic reflex test; Auditory brainstem response; Evoked potential test,Information not found
Autism spectrum disorder,Autism spectrum disorder,"There is no specific medical test to diagnose autism spectrum disorder. Diagnosis involves observation of the child's development and behavior across social interaction, communication, and behavior; standardized tests assessing hearing, speech, language, developmental level, and social/behavioral issues; structured assessments of social and communication interactions; and input from other specialists.  Genetic testing may be recommended to rule out other genetic conditions.","Behavior and communication therapies (including Applied Behavior Analysis); educational therapies; family therapies; speech therapy; occupational therapy; physical therapy;  medication to manage associated symptoms (such as hyperactivity, severe behavioral symptoms, or anxiety).",Hearing tests; speech tests; language tests; developmental level tests; tests assessing social and behavioral issues; genetic testing (to rule out conditions such as Rett syndrome or fragile X syndrome).,"Specific medications are not listed, but examples include those for hyperactivity, antipsychotic medications for severe behavioral symptoms, and antidepressants for anxiety."
Autoimmune encephalitis,Autoimmune encephalitis,"Review of symptoms; physical exam; assessment of symptom patterns suggestive of autoimmune encephalitis; testing for antibodies attacking brain proteins and receptors; ruling out other conditions (infections, other autoimmune diseases) using various tests;  application of established autoimmune encephalitis criteria.","Immunotherapy; tumor removal (if applicable); oral corticosteroids; plasma exchange;  rehabilitation (occupational, speech, mental health); treatment of complications (epilepsy, sleep disorders, movement problems); cancer treatment (if applicable).",Antibody tests (blood and cerebrospinal fluid); lumbar puncture; MRI of the brain; EEG; other imaging tests (to rule out cancer).,"Methylprednisolone (Solu-Medrol); Immunoglobulin (IVIg); rituximab (Rituxan, Truxima); cyclophosphamide; tocilizumab (Actemra, Tofidence, Tyenne)."
Autoimmune epilepsy,Autoimmune epilepsy,Diagnosis begins with a physical exam and review of symptoms;  Lab tests check for antibodies in the blood or cerebrospinal fluid (obtained via lumbar puncture); Brain imaging (MRI and FDG-PET scan) looks for signs of autoimmune activity and rules out other causes; EEG measures brain electrical activity and may show seizure activity.,Immunotherapy; Treatment of underlying cancer (if present); Plasma exchange; Antiseizure medications (may have limited effectiveness); Surgery (for Rasmussen syndrome); Rehabilitation (occupational and speech therapy).,Blood test; Cerebrospinal fluid analysis (via lumbar puncture); MRI; FDG-PET scan; EEG; Video EEG,"Methylprednisolone (Solu-Medrol); Prednisone; Immunoglobulin; Rituximab (Rituxan, Truxima); Cyclophosphamide; Mycophenolate (Cellcept, Myhibbin); Azathioprine (Azasan, Imuran); Tocilizumab (Actemra, Tofidence, Tyenne); Antiseizure medications (specific names not listed)."
Autoimmune hepatitis,Autoimmune hepatitis,"Autoimmune hepatitis is diagnosed through blood tests to detect specific antibodies, distinguishing it from viral hepatitis and other conditions; a liver biopsy confirms the diagnosis and assesses the extent and type of liver damage.",Medications to slow or stop the immune system's attack on the liver; Liver transplant (when medications are ineffective or cirrhosis/liver failure develops),Blood tests for antibodies; Liver biopsy,"Prednisone; Azathioprine (Azasan, Imuran)"
Autoimmune pancreatitis,Autoimmune pancreatitis,"Diagnosis is challenging due to symptom overlap with pancreatic cancer.  A combination of imaging, blood tests, and biopsy results is used.  Elevated IgG4 levels in blood are common in Type 1 AIP, but not specific.  A distinctive appearance under a microscope on biopsy is characteristic. A steroid trial may be used to confirm diagnosis, but should be done with caution and under expert guidance.",Biliary stenting; Steroids (prednisolone or prednisone); Immunosuppressants and immunomodulators,CT; MRI; Endoscopic ultrasound (EUS); Endoscopic retrograde cholangiopancreatography (ERCP); Blood test for IgG4 levels; Endoscopic core biopsy,"Prednisolone; Prednisone; Mycophenolate (CellCept); Mercaptopurine (Purinethol, Purixan); Azathioprine (Imuran, Azasan); Rituximab (Rituxan)"
Autonomic neuropathy,Autonomic neuropathy,"Diagnosis depends on symptoms and risk factors.  For those with known risk factors (e.g., diabetes, cancer treatment with neurotoxic drugs), a physical exam and symptom review are conducted.  For those without risk factors, a more thorough evaluation including medical history review, physical exam, and autonomic function tests may be necessary.",Treating the underlying disease; Managing specific symptoms with diet changes; Medications to help stomach emptying; Medications to ease constipation; Medications to ease diarrhea; Bladder retraining; Medications to manage bladder symptoms,"Autonomic function tests; Tilt-table test; Gastrointestinal tests (e.g., gastric-emptying tests); Quantitative sudomotor axon reflex test; Thermoregulatory sweat test; Urinalysis; Urodynamic tests; Ultrasound of the urinary tract",metoclopramide (Reglan)
Avascular necrosis (osteonecrosis),Avascular necrosis (osteonecrosis),Physical exam assessing joint tenderness and range of motion; Imaging tests to pinpoint the source of pain and reveal bone changes.,Rest; Exercises; Electrical stimulation; Core decompression; Bone transplant (graft); Bone reshaping (osteotomy); Joint replacement; Regenerative medicine treatment (bone marrow aspirate and concentration),X-rays; MRI; CT scan; Bone scan,Ibuprofen; Naproxen sodium;  Iloprost; Warfarin
Baby acne,Baby acne,Baby acne is usually diagnosed visually; no testing is needed.,"Often clears up on its own; prescription medicine may be needed for cysts, scarring, or lack of improvement.",Information not found,Information not found
Back pain,Back pain,"Physical examination assessing ability to sit, stand, walk, and lift legs; pain rating on a 0-10 scale; assessment of pain's impact on daily activities; evaluation to rule out serious causes.","Home treatment (heat, light activity); Stronger medicines; Physical therapy; Cortisone shots; Radiofrequency ablation; Implanted nerve stimulators; Surgery; Acupuncture; Chiropractic care; Massage; Transcutaneous electrical nerve stimulation (TENS); Yoga",X-ray; MRI; CT scan; Blood tests; Electromyography (EMG); Bone scan; Discogram; Urinalysis,Ibuprofen; Naproxen sodium; Prescription NSAIDs; Muscle relaxants; Topical pain relievers; Oxycodone; Hydrocodone; Duloxetine; Amitriptyline
Bacterial vaginosis,Bacterial vaginosis,"A pelvic exam to visually inspect the vagina and palpate pelvic organs; a vaginal discharge sample is tested for ""clue cells"" (vaginal cells covered in bacteria); vaginal pH is tested using a pH strip (pH 4.5 or higher indicates BV).","Metronidazole (oral or vaginal gel); Clindamycin (cream, oral, or suppository); Tinidazole (oral); Secnidazole (oral granules)",Pelvic exam; Vaginal discharge analysis for clue cells; Vaginal pH test,Metronidazole; Clindamycin; Tinidazole; Secnidazole
Bad breath,Bad breath,"Dentist assesses breath odor from mouth and nose, rates odor on a scale; dentist may scrape the back of the tongue and rate its odor; some devices can detect certain chemicals causing bad breath (availability varies).","Regular oral hygiene (brushing, flossing, tongue cleaning); Mouth rinses; Antibacterial toothpaste; Treatment of gum disease (periodontist referral may be necessary); Replacement of faulty fillings; Artificial saliva preparation; Medications to increase saliva flow; Dietary changes (reducing onion, garlic, and sugary foods);  Chewing sugarless gum or sucking on sugarless candy.",Breath odor assessment; Tongue scraping; Chemical detection devices (availability varies).,Artificial saliva preparation; Medications to increase saliva flow (specific medication names not provided).
Bags under eyes,Bags under eyes,Bags under eyes are usually evident without a medical diagnosis; a healthcare professional may assess the skin under the eyes to determine the cause of puffiness or to discuss medical or surgical treatment options.,Cool compress; Reduced fluid intake before bed; Reduced salt in diet; Avoiding smoking; Getting enough sleep; Sleeping with head elevated; Reducing allergy symptoms; Nonprescription allergy medications; Makeup to mask under-eye circles; Laser resurfacing; Chemical peels; Fillers; Blepharoplasty (eyelid surgery),Information not found,Prescription allergy medication
Baker cyst,Baker cyst,Physical exam;  Imaging tests may be ordered if symptoms mimic more serious conditions.,"Avoidance of triggering activities; Nonprescription pain relievers; Steroid injection into the knee; Gentle range-of-motion and strengthening exercises; Needle aspiration; Arthroscopic surgery;  Cyst removal surgery (rarely). R.I.C.E. (rest, ice, compression, elevation)",Ultrasound; X-ray; Magnetic resonance imaging (MRI),Acetaminophen; Ibuprofen; Cortisone; Naproxen sodium; Aspirin
Balance problems,Balance problems,"Diagnosis begins with a review of medical history and a physical and neurological examination.  Further testing is conducted to determine the underlying cause, focusing on the inner ear's balance function if symptoms suggest this involvement.",Balance retraining exercises (vestibular rehabilitation); Positioning procedures (canalith repositioning); Diet and lifestyle changes; Medications; Surgery; Stereotactic radiosurgery,Hearing tests; Posturography test; Electronystagmography; Videonystagmography; Rotary chair test; Dix-Hallpike maneuver; Vestibular evoked myogenic potentials test; MRI; CT scans; Blood pressure tests; Heart rate tests,Information not found
Barrett's esophagus,Barrett's esophagus,"Barrett's esophagus is diagnosed via endoscopy, a procedure using a lighted tube with a camera to visualize the esophagus.  Abnormal tissue (red and velvety) is noted, and a biopsy is taken for pathological examination to determine the degree of dysplasia (precancerous changes).  Two pathologists, one specializing in gastroenterology pathology, ideally confirm the diagnosis and dysplasia grade.",Periodic endoscopy; GERD treatment (medication and lifestyle changes); Surgery or endoscopy for hiatal hernia repair or lower esophageal sphincter tightening; Endoscopic resection; Radiofrequency ablation; Cryotherapy; Esophagectomy (surgery to remove damaged esophagus); Lifelong medication to reduce acid (if treatment other than surgery for abnormal tissue is used).,Endoscopy; Biopsy,Proton pump inhibitor medication (specific drug name not mentioned)
Bartholin's cyst,Bartholin's cyst,A pelvic exam; questioning about medical history;  a sample of vaginal or cervical secretions to test for sexually transmitted infection; biopsy to check for cancerous cells (if postmenopausal or over 40).,Sitz baths; surgical drainage with or without catheter placement; antibiotics; marsupialization; surgical removal of Bartholin's gland,Pelvic exam;  testing of vaginal or cervical secretions; biopsy,Antibiotics
Basal cell carcinoma,Basal cell carcinoma,"Diagnosis involves a medical history review focusing on the lesion's onset, changes, pain, presence of other lesions, prior skin cancer history (personal and family), and sun safety practices; a physical exam assessing the suspicious area and the rest of the body for lesions; and a skin biopsy to determine the presence and type of skin cancer.",Surgical excision; Mohs surgery; Curettage and electrodessication (C and E); Radiation therapy; Freezing (cryosurgery); Topical treatments; Photodynamic therapy; Targeted drug therapy; Chemotherapy,Skin biopsy,Information not found
Bed-wetting,Bed-wetting,"Physical exam; Discussion of symptoms, fluid intake, family history, bowel and bladder habits, and problems caused by bed-wetting; Urine tests to check for infection or diabetes; X-rays or other imaging tests of the kidneys or bladder; Other urinary tract tests or assessments as needed.","Lifestyle changes (limiting evening fluids, avoiding caffeine, double voiding before bed); Moisture alarms; Medication; Addressing underlying causes such as constipation or sleep apnea",Urinalysis; X-ray; Urine tests;  X-rays or other imaging tests of the kidneys or bladder; Other types of urinary tract tests or assessments,Desmopressin (DDAVP); Oxybutynin (Ditropan XL)
Bedbugs,Bedbugs,"Inspect your home for bedbugs, particularly in crevices in walls, mattresses, and furniture; Look for dark specks (excrement), skin castings (pale yellow), and rusty or reddish stains (blood smears).  Inspection may need to be done at night when bedbugs are active.","Hydrocortisone cream; Oral antihistamine (e.g., diphenhydramine); Vacuuming; Laundering items in water at least 120°F (48.9°C) or drying on high heat for 20 minutes; Placing infested items in an enclosed vehicle in direct sunlight to reach at least 120°F (48.9°C); Professional extermination (using pesticides and non-chemical treatments); Discarding heavily infested items.",Information not found,Hydrocortisone; Diphenhydramine
Bedsores (pressure ulcers),Bedsores (pressure ulcers),"Visual examination of the skin to identify and stage pressure ulcers; assessment of patient history including onset, pain level, prior occurrences, treatment history, care assistance, positioning routine, medical conditions, diet, and nutrition.","Reducing pressure through repositioning and support surfaces; wound cleaning and dressing with appropriate bandages (films, gauzes, gels, foams, treated coverings); debridement of damaged tissue; pain management with NSAIDs (e.g., ibuprofen, naproxen sodium) and topical pain medications; nutritional support; surgery (flap surgery) for non-healing ulcers.",Blood tests,ibuprofen; naproxen sodium
Bee sting,Bee sting,"Allergy to bee venom is diagnosed through skin testing (injecting a small amount of bee venom into the skin to observe a reaction) and/or blood testing (measuring the immune system's response to bee venom).  The healthcare professional may also test for allergies to yellow jackets, hornets, and wasps.","Home treatment for minor stings; Emergency treatment for allergic reactions (including CPR, epinephrine, oxygen, antihistamines, glucocorticoids, beta agonists); Immunotherapy (allergy shots).",Skin test; Blood test,Epinephrine; Oxygen; Prednisone; Albuterol; Diphenhydramine; Chlorpheniramine; Loratadine; Cetirizine; Fexofenadine; Ibuprofen; Acetaminophen
Behcet disease,Behcet disease,"Diagnosis is primarily based on symptoms; recurrent mouth sores (at least three times in 12 months) are nearly always present and often necessary for diagnosis; at least two additional symptoms are required, such as recurrent genital sores, eye inflammation, or skin sores; lab tests may rule out other conditions.",Topical medicines for flares; whole-body treatments for severe disease; corticosteroids;  medicines to suppress the immune system; interferon alfa-2b; tumor necrosis factor blockers; rest during flares; moderate exercise during symptom remission; support groups.,Pathergy test; Blood tests; Other lab tests,"colchicine; apremilast; prednisone; azathioprine; cyclosporine; cyclophosphamide; interferon alfa-2b; infliximab; adalimumab; corticosteroid creams, gels, and ointments; corticosteroid mouth rinses; corticosteroid eye drops."
Bell's palsy,Bell's palsy,Clinical evaluation of facial muscle movement;  EMG to confirm nerve damage and severity; MRI or CT scan to rule out other conditions such as tumors or skull fractures; blood tests to rule out other conditions like Lyme disease and infections.,"Corticosteroids; Antiviral drugs; Physical therapy; Lubricating eye drops and ointment; Eye protection (glasses, goggles, eye patch);  Rarely, decompression surgery (not recommended); Facial reanimation surgery (for lasting problems); Pain relievers; Acupuncture; Biofeedback training; OnabotulinumtoxinA (Botox)",Electromyography (EMG); Magnetic resonance imaging (MRI); Computerized tomography (CT); Blood tests,Prednisone; Valacyclovir; Acyclovir; Aspirin; Ibuprofen; Acetaminophen; OnabotulinumtoxinA (Botox)
Benign adrenal tumors,Benign adrenal tumors,Benign adrenal tumors are often discovered incidentally on imaging performed for other reasons.  Diagnosis involves assessing the likelihood of malignancy and determining if the tumor is producing excess hormones.  This assessment includes physical examination and blood and urine hormone level testing.,Observation (with repeat imaging and hormone testing); Medication for symptoms; Adrenalectomy (surgical removal of the adrenal gland),Blood tests; Urine tests; CT scan; MRI; M-iodobenzylguanidine (MIBG) imaging; Positron emission tomography (PET); Ga-DOTATATE PET scan,Information not found
Benign paroxysmal positional vertigo (BPPV),Benign paroxysmal positional vertigo (BPPV),"Diagnosis is based on a physical exam evaluating dizziness triggered by specific head and eye movements (lasting less than a minute),  nystagmus (involuntary eye movements), and difficulty controlling eye movements.  Additional testing may be done if the cause is unclear.","Canalith repositioning procedure; Canal plugging surgery; Physical therapy; Home treatments (avoiding triggering movements, using good lighting, using a cane for stability)",Electronystagmography (ENG); Videonystagmography (VNG); Magnetic resonance imaging (MRI),Information not found
Benign peripheral nerve tumor,Benign peripheral nerve tumor,"Diagnosis involves determining the tumor's location and type using imaging and biopsy.  MRI is the preferred imaging method to visualize the nerves and surrounding tissue, determining if the tumor is intra- or extra-neural.  A CT scan may be used as an alternative if MRI is not possible or further bone detail is needed. Electromyography (EMG) and nerve conduction studies assess nerve function and help locate the tumor. A tumor biopsy or nerve biopsy is performed to analyze tissue and determine the tumor type.",Surgical removal; Observation (regular checkups and imaging tests),MRI; CT scan; Electromyogram (EMG); Nerve conduction study; Tumor biopsy; Nerve biopsy,Information not found
Benign prostatic hyperplasia (BPH),Benign prostatic hyperplasia (BPH),"Diagnosis begins with a review of symptoms and a physical exam, including a digital rectal exam to assess prostate size.  Urine and blood tests check for other conditions mimicking BPH symptoms and kidney problems.  Further tests may be needed to confirm BPH, depending on complexity.","Medicines; Surgery; Procedures with smaller/fewer/no cuts;  Transurethral resection of the prostate (TURP); Transurethral incision of the prostate (TUIP); Transurethral microwave thermotherapy (TUMT); Laser therapy (including photoselective vaporization of the prostate (PVP), holmium laser ablation of the prostate, and holmium laser enucleation of the prostate (HoLEP)); Prostate lift",Digital rectal exam; Urine test; Blood test; Prostate-specific antigen (PSA) blood test; Urinary flow test; Postvoid residual volume test; 24-hour voiding diary; Transrectal ultrasound; Prostate biopsy; Urodynamic and pressure flow studies; Cystoscopy; Computerized tomography (CT) urogram; Intravenous pyelogram,alfuzosin (Uroxatral); doxazosin (Cardura); tamsulosin (Flomax); silodosin (Rapaflo); terazosin; finasteride (Proscar); dutasteride (Avodart); tadalafil (Cialis)
Bile reflux,Bile reflux,Diagnosis is typically based on a description of symptoms and medical history; distinguishing between acid and bile reflux requires further testing to assess esophageal and stomach damage and precancerous changes.,Lifestyle adjustments; Medications; Surgery,Endoscopy; Ambulatory acid tests; Esophageal impedance,Ursodeoxycholic acid; Sucralfate; Bile acid sequestrants
Binge-eating disorder,Binge-eating disorder,"Mental health evaluation involving discussion of feelings and eating habits with a mental health professional specializing in eating disorders;  assessment for health problems associated with binge-eating disorder (e.g., high cholesterol, high blood pressure, heart problems, diabetes, GERD, poor nutrition, electrolyte imbalances, sleep-related breathing disorders).","Talk therapy (CBT, CBT-E, ICAT, Dialectical behavior therapy);  Lifestyle changes (regular eating, avoiding dieting, planning for triggering situations, getting proper nutrition, staying connected, physical activity); Medications.",Physical exam (including weight measurement); Blood tests; Urine tests; Sleep study (visit with sleep disorder specialist).,Lisdexamfetamine dimesylate (Vyvanse);  Certain anti-seizure medications; Certain antidepressants.
Bipolar disorder,Bipolar disorder,"Diagnosis is based on a mental health assessment by a psychiatrist, including interviews about thoughts, feelings, and behavior patterns; information from family or friends; and potentially mood charting to track moods, sleep, and other factors.  The same criteria are used for children and adults, but symptoms may manifest differently in children and adolescents, often alongside other conditions like ADHD.",Medicines; Ongoing medication; Intensive outpatient programs; Partial hospitalization programs; Treatment for alcohol or drug misuse; Hospital stay; Talk therapy (psychotherapy); Interpersonal and social rhythm therapy; Cognitive behavioral therapy (CBT); Psychoeducation; Education and support groups,Physical exam; lab tests,"lithium (Lithobid); valproic acid; divalproex sodium (Depakote, Depakote ER); carbamazepine (Tegretol, Tegretol XR, Equetro); lamotrigine (Lamictal); olanzapine (Zyprexa, Lybalvi); risperidone (Risperdal); quetiapine (Seroquel, Seroquel XR); aripiprazole (Abilify, Aristada); ziprasidone (Geodon); lurasidone (Latuda); asenapine (Saphris); lumateperone (Caplyta); cariprazine (Vraylar);  fluoxetine; Symbyax (fluoxetine and olanzapine); Benzodiazepines"
Bird flu (avian influenza),Bird flu (avian influenza),"A healthcare professional takes a sample of fluid from the nose and throat to test for bird flu infection; a sample of fluid from the eye may also be taken if pink eye is present.  Diagnosis is considered if symptoms are present and potential exposure through work, travel, or hobbies is identified.",Antiviral medications; Isolation from others to prevent spread;  Testing of close contacts and antiviral medication for high-risk exposed individuals.,Nasal and throat fluid sample; Eye fluid sample (if pink eye is present),oseltamivir (Tamiflu); zanamivir (Relenza); peramivir (Rapivab)
Black hairy tongue,Black hairy tongue,"Diagnosis is based on visual examination of the tongue and consideration of potential causes or risk factors.  Differential diagnosis includes normal tongue color variations, staining from food or medications, fungal or viral infections, and conditions like oral hairy leukoplakia and pseudo-black hairy tongue (associated with bismuth-containing products like Pepto-Bismol).",Good oral and tongue hygiene; cessation of tobacco use and irritating mouthwashes; smoking cessation programs.,Information not found,Information not found
Bladder cancer,Bladder cancer,"Bladder cancer is diagnosed through a combination of methods.  Cystoscopy (visual examination of the bladder using a cystoscope) allows for direct visualization and biopsy; urine cytology (microscopic examination of urine for cancer cells) detects cancerous cells; imaging tests such as CT urogram or retrograde pyelogram provide detailed views of the urinary tract to assess tumor extent. Biopsy is crucial for confirming diagnosis and determining the type, grade, and stage of cancer.","Transurethral resection of bladder tumor (TURBT); Intravesicle therapy (chemotherapy or immunotherapy, such as BCG); Cisplatin-based combination chemotherapy; Cystectomy (complete removal of the bladder); Radiation therapy; Adjuvant immunotherapy",Cystoscopy; Biopsy; Urine cytology; CT urogram; Retrograde pyelogram,Cisplatin; BCG (Bacillus Calmette-Guérin)
Bladder exstrophy,Bladder exstrophy,"Often detected during routine pregnancy ultrasound; confirmed with MRI; newborn assessment includes evaluation of bladder exposure, testicle position, inguinal hernia, umbilical anatomy, anal position, and pubic bone separation.  Criteria include a bladder that doesn't fill or empty correctly; low umbilical cord placement; separated pubic bones; smaller than typical genitals.","Complete primary repair (single surgery closing bladder, stomach area, urethra, and repairing sex organs, potentially including pelvic bone repair); Staged repair (three surgeries: initial bladder and stomach closure, later urethra and sex organ repair, and finally bladder neck repair during toilet training); Catheterization; Pain management (spinal canal analgesia) ; Immobilization (devices to keep lower legs still).",Pregnancy ultrasound; MRI; Newborn physical examination,Opioids (mentioned as a less desirable alternative to spinal analgesia)
Bladder stones,Bladder stones,"Diagnosing bladder stones involves a physical exam (checking for bladder enlargement and prostate size); a urine test (analyzing for blood, bacteria, and minerals, and checking for urinary tract infections); and imaging tests such as CT scan, ultrasound, and X-ray to visualize the stones.","Passing stones naturally (with increased water intake); Breaking stones apart using a laser, ultrasound, or other device via cystoscopy; Surgical removal of stones; Treatment of underlying conditions like bladder outlet obstruction or enlarged prostate.",Physical exam; Urine test; CT scan; Ultrasound; X-ray,Information not found
Blastocystis hominis,Blastocystis hominis,"Diagnosis can be difficult; even if *Blastocystis hominis* is found in stool, it may not be the cause of symptoms.  Diagnosis involves reviewing medical history, inquiring about recent activities (e.g., travel), and physical exam.  Lab tests include stool (fecal) exam to detect parasites; endoscopy if fecal exam is negative and symptoms persist; blood tests (though not commonly used for *Blastocystis hominis*, may be used to rule out other causes).","No treatment is needed if asymptomatic; mild symptoms may resolve spontaneously.  For symptomatic infections, potential medications include antibiotics (metronidazole, tinidazole), combination medications (sulfamethoxazole and trimethoprim), and anti-protozoal medications (paromomycin, nitazoxanide).",Stool (fecal) exam; Endoscopy; Blood tests,Metronidazole; Tinidazole; Sulfamethoxazole and trimethoprim; Paromomycin; Nitazoxanide
